Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,ft,dfg,Attend.,Notes,sdfg
"DENVER, CO ","WICHITA, KS",420,73,289,UA,96.27,291,TW ,1.49,168
"CHARLOTTE, NC","PHILADELPHIA, PA",447,500,273,US,94.95,277,DL,2.02,165
"CLEVELAND, OH","NEW YORK, NY",412,1136,269,CO,75.02,294,AA,12.47,216
"HARTFORD, CT","PITTSBURGH, PA",406,234,260,US,93.16,265,NW,1.49,120
"COLUMBUS, OH","PHILADELPHIA, PA",405,278,255,US,91.29,259,JI,1.13,116
"CHARLOTTE, NC","CLEVELAND, OH",430,200,250,US,67.32,239,US,67.32,239
"MINNEAPOLIS, MN","ST. LOUIS, MO",449,539,245,TW ,47.9,253,NW,45.24,251
"ATLANTA, GA","INDIANAPOLIS, IN",432,437,242,DL,80.84,257,TW ,2.39,123
"DETROIT, MI","WASHINGTON, DC",400,618,236,NW,85.53,246,DL,2.34,102
"DALLAS, TX","MEMPHIS, TN",432,293,236,AA,51.72,258,DL,25.27,173
"CHARLOTTE, NC","INDIANAPOLIS, IN",428,163,234,US,87.54,237,TW ,1.87,127
"CINCINNATI, OH","WASHINGTON, DC",404,414,233,DL,87.14,242,US,5.62,128
"BALTIMORE, MD","CINCINNATI, OH",430,177,231,DL,72.84,256,US,18.03,144
"ATLANTA, GA","COLUMBUS, OH",446,496,201,DL,90.79,205,UA,1.05,114
"CO SPRINGS, CO","SALT LAKE CITY, UT",410,75,198,DL,78.31,197,UA,19.36,191
"CHICAGO, IL","PITTSBURGH, PA",412,965,193,US,42.91,212,NJ,24.32,124
"CHARLESTON, SC","WASHINGTON, DC",444,187,192,US,77.1,197,DL,18.01,183
"NEW YORK, NY","RALEIGH/DURHAM, NC",426,1574,186,JI,38.25,183,US,26.59,174
"KANSAS CITY, MO","MILWAUKEE, WI",436,216,184,YX,79.92,189,DL,1.96,118
"CLEVELAND, OH","RALEIGH/DURHAM, NC",417,166,179,CO,44.18,244,WN,39.59,95
"ATLANTA, GA","BATON ROUGE, LA",449,135,178,DL,93.55,178,CO,1.05,145
"MIAMI, FL","TALLAHASSEE, FL",403,164,172,DL,89.74,173,US,8.41,166
"BOSTON, MA","WASHINGTON, DC",404,3307,156,US,63.38,159,DL,16.55,143
"GREENVILLE, SC","ORLANDO, FL",449,93,146,DL,61.12,147,US,29.1,143
"BALTIMORE, MD","DETROIT, MI",408,951,144,NW,68.25,161,P9,17.13,86
"DALLAS, TX","JACKSON, MS",409,186,141,DL,46.12,146,AA,35.69,135
"AUSTIN, TX","NEW ORLEANS, LA",446,208,140,WN,61.16,139,CO,28.36,135
"ATLANTA, GA","TAMPA, FL",406,1914,135,DL,64.38,145,FL,33.69,114
"ATLANTA, GA","ORLANDO, FL",403,2060,124,DL,60.45,136,FL,36.43,107
"BIRMINGHAM, AL","ST. LOUIS, MO",410,156,124,WN,63.66,108,WN,63.66,108
"SACRAMENTO, CA","SANTA ANA, CA",404,571,123,HP,97.45,122,HP,97.45,122
"AMARILLO, TX","AUSTIN, TX",412,140,123,WN,90.97,122,CO,1.01,107
"HOUSTON, TX","OKLAHOMA CITY, OK",418,592,117,WN,58.95,112,WN,58.95,112
"OKLAHOMA CITY, OK","SAN ANTONIO, TX",407,166,116,WN,64.57,122,CO,23.36,84
"PALM SPRINGS, CA","SAN FRANCISCO, CA",421,128,115,AS,79.86,113,AS,79.86,113
"HOUSTON, TX","MIDLAND/ODESSA, TX",440,436,114,WN,67.21,112,WN,67.21,112
"ATLANTA, GA","NEW ORLEANS, LA",425,1016,114,DL,69.95,119,FL,28.71,98
"ATLANTA, GA","DAYTON, OH",432,740,112,DL,58.84,119,FL,38.33,99
"DALLAS, TX","NEW ORLEANS, LA",437,1303,106,WN,64.96,100,WN,64.96,100
"GULFPORT, MS","TAMPA, FL",429,173,99,FL,90.97,97,FL,90.97,97
"RENO, NV","SANTA ANA, CA",415,250,96,WN,60.15,100,AA,11.78,85
"LAS VEGAS, NV","OAKLAND, CA",407,1648,93,WN,93.33,93,HP,2.51,91
"CHICAGO, IL","OMAHA, NE",423,1037,91,WN,58.61,67,WN,58.61,67
"LAS VEGAS, NV","SAN FRANCISCO, CA",414,2662,89,UA,42.56,98,HP,19.76,78
"SAN DIEGO, CA","SAN JOSE, CA",417,2500,88,WN,65.88,87,WN,65.88,87
"CHICAGO, IL","KANSAS CITY, MO",405,2555,88,WN,52.6,77,WN,52.6,77
"DETROIT, MI","ST. LOUIS, MO",440,1196,88,WN,39.67,76,WN,39.67,76
"COLUMBUS, OH","ST. LOUIS, MO",410,459,87,TW ,60.28,98,WN,36.85,66
"NASHVILLE, TN","RALEIGH/DURHAM, NC",443,546,87,WN,84.28,83,WN,84.28,83
"OAKLAND, CA","SAN DIEGO, CA",446,2110,87,WN,93.99,86,UA,3.41,79
"ATLANTIC CITY, NJ","CLEVELAND, OH",406,89,84,NK,96.1,78,NK,96.1,78
"SAN DIEGO, CA","SAN FRANCISCO, CA",447,2931,83,UA,49.41,85,WN,47.08,79
